Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-03-18,51.3,51.3,-0.8(-1.54 %),6017000,312069000000,1923099,100193378700,52.1,52.7,51.1
2025-03-17,52.1,52.1,-0.1(-0.19 %),6497300,337134000000,134000,7035000000,52.5,52.7,50.8
2025-03-14,52.2,52.2,0.8(1.56 %),8422600,440874000000,0,0,51.8,52.8,51.4
2025-03-13,51.4,51.4,3.3(6.86 %),16415000,833847000000,86000,4207900000,48.3,51.4,47.5
2025-03-12,48.1,48.1,0.8(1.69 %),7003400,336186000000,0,0,47.35,48.25,47.35
2025-03-11,47.3,47.3,0(0.00 %),5692400,267669000000,18391600,869638880000,46.9,47.3,46.5
2025-03-10,47.3,47.3,2(4.42 %),9904400,465378000000,2591600,117399480000,45.9,47.9,45.8
2025-03-07,45.3,45.3,2.95(6.97 %),11502700,511407000000,106000,4444400000,42.3,45.3,42.25
2025-03-06,42.35,42.35,0.1(0.24 %),2628200,111514000000,134000,5681600000,42.3,42.55,42.05
2025-03-05,42.25,42.25,0.3(0.72 %),2907700,123193000000,4902000,205611300000,42.05,42.5,42.0
2025-03-04,41.95,41.95,-0.1(-0.24 %),3056500,128803000000,0,0,42.45,42.5,41.8
2025-03-03,42.05,42.05,0.85(2.06 %),2857500,119851000000,86000,3698000000,41.3,42.4,41.2
2025-02-28,41.2,41.2,0.15(0.37 %),2771000,114088000000,0,0,41.05,41.6,40.7
2025-02-27,41.05,41.05,0.05(0.12 %),1441600,59025000000,86000,3280900000,41.2,41.2,40.75
2025-02-26,41.0,41.0,0.3(0.74 %),1364900,55926000000,0,0,41.0,41.1,40.8
2025-02-25,40.7,40.7,0.1(0.25 %),1793300,73359000000,86000,3429400000,40.7,41.15,40.65
2025-02-24,40.6,40.6,-0.05(-0.12 %),1540100,62347000000,2586000,105120900000,40.35,40.65,40.35
2025-02-21,40.65,40.65,-0.3(-0.73 %),1332100,54382000000,1306000,53459200000,40.95,40.95,40.65
2025-02-20,40.95,40.95,0.55(1.36 %),2936300,120209000000,0,0,40.45,41.25,40.4
2025-02-19,40.4,40.4,0.2(0.50 %),1574300,63396000000,16426000,665768000000,40.2,40.5,40.05
2025-02-18,40.2,40.2,0.1(0.25 %),1200000,48180000000,6249000,250021650000,40.1,40.45,39.9
2025-02-17,40.1,40.1,-0.15(-0.37 %),851700,34218000000,5056000,203516900000,40.25,40.4,40.05
2025-02-14,40.25,40.25,0(0.00 %),996500,40215000000,4076300,165090150000,40.5,40.5,40.2
2025-02-13,40.25,40.25,0.35(0.88 %),1052900,42179000000,86000,3522400000,39.9,40.3,39.85
2025-02-12,39.9,39.9,-0.05(-0.13 %),940900,37609000000,7643000,305337850000,39.95,40.1,39.9
2025-02-11,39.95,39.95,-0.05(-0.12 %),1436000,57371000000,86000,3551800000,40.0,40.1,39.85
2025-02-10,40.0,40.0,-0.65(-1.60 %),1534300,61550000000,7795400,316883010000,40.35,40.35,40.0
2025-02-07,40.65,40.65,0.2(0.49 %),1394900,56485000000,86000,3568800000,40.5,40.7,40.25
2025-02-06,40.45,40.45,0.4(1.00 %),1314600,52925000000,370000,14818500000,40.35,40.55,40.05
2025-02-05,40.05,40.05,-0.05(-0.12 %),1059300,42625000000,361400,14678396000,40.2,40.45,40.05
2025-02-04,40.1,40.1,0.05(0.12 %),1440900,57623000000,0,0,40.05,40.2,39.85
2025-01-24,40.4,40.4,0(0.00 %),1387900,56017000000,24000,902400000,40.25,40.5,40.2
2025-01-23,40.4,40.4,0(0.00 %),1420100,57473000000,179000,7211700000,40.4,40.65,40.25
2025-01-22,40.4,40.4,-0.05(-0.12 %),1135200,45807000000,14105000,570469250000,40.5,40.5,40.1
2025-01-21,40.45,40.45,0.05(0.12 %),1313500,53082000000,332239,13411717550,40.55,40.55,40.3
2025-01-20,40.4,40.4,-0.05(-0.12 %),646200,26082000000,24000,964800000,40.3,40.45,40.25
2025-01-17,40.45,40.45,0(0.00 %),1173800,47405000000,556000,22508200000,40.5,40.55,40.25
2025-01-16,40.45,40.45,0.2(0.50 %),1999800,80553000000,41011000,1658956150000,40.3,40.65,40.1
2025-01-15,40.25,40.25,0.05(0.12 %),874200,35156000000,5422400,218013580000,40.3,40.35,40.0
2025-01-14,40.2,40.2,-0.1(-0.25 %),2326300,93063000000,0,0,40.2,40.2,39.8
2025-01-13,40.3,40.3,-0.2(-0.49 %),1680700,67475000000,3806000,154111500000,39.7,40.35,39.7
2025-01-10,40.5,40.5,-0.25(-0.61 %),1104600,44883000000,0,0,40.75,40.9,40.4
2025-01-09,40.75,40.75,0.25(0.62 %),1187900,48316000000,86000,3500200000,40.55,41.0,40.5
2025-01-08,40.5,40.5,0(0.00 %),925800,37445000000,100000,4330000000,40.4,40.55,40.3
2025-01-07,40.5,40.5,0(0.00 %),1965000,79424000000,86000,3478400000,40.3,40.55,40.2
2025-01-06,40.5,40.5,0(0.00 %),1625900,65698000000,7488400,303280200000,40.4,40.5,40.3
2025-01-03,40.5,40.5,-0.05(-0.12 %),1729100,69729000000,186000,7865300000,40.55,40.55,40.15
2025-01-02,40.55,40.55,0(0.00 %),1340500,54201000000,0,0,40.5,40.55,40.3
2024-12-31,40.55,40.55,0(0.00 %),1784400,72212000000,86000,3526000000,40.55,40.6,40.3
2024-12-30,40.55,40.55,0(0.00 %),1415300,57284000000,0,0,40.35,40.6,40.3
2024-12-27,40.55,40.55,-0.1(-0.25 %),1497700,60926000000,0,0,40.7,40.9,40.55
2024-12-26,40.65,40.65,0(0.00 %),877500,35767000000,100000,3897000000,40.7,41.0,40.65
