Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2025-03-14,52.2,52.2,0.8(1.56 %),8422600,440874000000,0,0,51.8,52.8,51.4
2025-03-13,51.4,51.4,3.3(6.86 %),16415000,833847000000,86000,4207900000,48.3,51.4,47.5
2025-03-12,48.1,48.1,0.8(1.69 %),7003400,336186000000,0,0,47.35,48.25,47.35
2025-03-11,47.3,47.3,0(0.00 %),5692400,267669000000,18391600,869638880000,46.9,47.3,46.5
2025-03-10,47.3,47.3,2(4.42 %),9904400,465378000000,2591600,117399480000,45.9,47.9,45.8
2025-03-07,45.3,45.3,2.95(6.97 %),11502700,511407000000,106000,4444400000,42.3,45.3,42.25
2025-03-06,42.35,42.35,0.1(0.24 %),2628200,111514000000,134000,5681600000,42.3,42.55,42.05
2025-03-05,42.25,42.25,0.3(0.72 %),2907700,123193000000,4902000,205611300000,42.05,42.5,42.0
2025-03-04,41.95,41.95,-0.1(-0.24 %),3056500,128803000000,0,0,42.45,42.5,41.8
2025-03-03,42.05,42.05,0.85(2.06 %),2857500,119851000000,86000,3698000000,41.3,42.4,41.2
2025-02-28,41.2,41.2,0.15(0.37 %),2771000,114088000000,0,0,41.05,41.6,40.7
2025-02-27,41.05,41.05,0.05(0.12 %),1441600,59025000000,86000,3280900000,41.2,41.2,40.75
2025-02-26,41.0,41.0,0.3(0.74 %),1364900,55926000000,0,0,41.0,41.1,40.8
2025-02-25,40.7,40.7,0.1(0.25 %),1793300,73359000000,86000,3429400000,40.7,41.15,40.65
2025-02-24,40.6,40.6,-0.05(-0.12 %),1540100,62347000000,2586000,105120900000,40.35,40.65,40.35
2025-02-21,40.65,40.65,-0.3(-0.73 %),1332100,54382000000,1306000,53459200000,40.95,40.95,40.65
2025-02-20,40.95,40.95,0.55(1.36 %),2936300,120209000000,0,0,40.45,41.25,40.4
2025-02-19,40.4,40.4,0.2(0.50 %),1574300,63396000000,16426000,665768000000,40.2,40.5,40.05
2025-02-18,40.2,40.2,0.1(0.25 %),1200000,48180000000,6249000,250021650000,40.1,40.45,39.9
2025-02-17,40.1,40.1,-0.15(-0.37 %),851700,34218000000,5056000,203516900000,40.25,40.4,40.05
